model,class_id,class_name,precision,recall,mAP50,mAP50-95
model_v1,0,House1,0.5321035148099243,0.6153846153846154,0.5401880440607081,0.35541355666863544
model_v1,1,House2,0.6008136199622048,0.5777777777777777,0.5140925548798916,0.3349798618001618
model_v1,2,Human1,0.7333886848874367,0.6941176470588235,0.7116168998041796,0.4036984530578889
model_v1,3,Human2,0.8000549900183008,0.8844133099824869,0.9054037285018283,0.69748128079971
model_v1,4,Human3,0.8331295249989273,0.8862407083998312,0.9199373659109438,0.7090761939944296
model_v1,5,Rock,0.8287685599828426,0.8637850333620523,0.9107904960182567,0.7152464897710656
model_v1,6,Tank,0.842070624768713,0.870372699564662,0.9201800524788204,0.7183130383128356
model_v1,7,Tent1,0.6738824519673211,0.7379947231307219,0.7341552090677849,0.4738106807779512
model_v1,8,Wall,0.44532135253614047,0.2619047619047619,0.383171734454009,0.23446103043040584
model_v1,9,car,0.8528193421191461,0.905373831775701,0.9311954740442435,0.7220248371365385
model_v2,0,House1,0.6693828789440677,0.5897435897435898,0.6101998113081635,0.39315319775418567
model_v2,1,House2,0.6785653785368705,0.6444444444444445,0.5843820244081646,0.38332616974609035
model_v2,2,Human1,0.8067092972445202,0.6235294117647059,0.7182713197076294,0.42788460227032915
model_v2,3,Human2,0.890693425790882,0.827702482647742,0.9083884728204942,0.7002740909090192
model_v2,4,Human3,0.8670404898773705,0.83400919250739,0.9094229116211464,0.7026499120018729
model_v2,5,Rock,0.9009804453914149,0.8746312684365781,0.934051981456595,0.7320047191506002
model_v2,6,Tank,0.869002162622554,0.9094650205761317,0.9396231753171547,0.7383631052598989
model_v2,7,Tent1,0.9110358671664178,0.8333333333333334,0.9420871022731493,0.640027113709366
model_v2,8,Wall,0.8016113675096492,0.47619047619047616,0.5744458097202659,0.37581846763353594
model_v2,9,car,0.8932230443331516,0.883177570093458,0.941654033735698,0.7362327242471813
