model_name,class_name,precision,recall,f1_score,support
model2_imgsz320,risk_0_safe,0.7936507936507936,0.9433962264150944,0.8620689655172413,53.0
model2_imgsz320,risk_1_low,0.6666666666666666,0.4166666666666667,0.5128205128205128,24.0
model2_imgsz320,risk_2_high,0.8275862068965517,0.8,0.8135593220338984,30.0
model2_imgsz480,risk_0_safe,0.8,0.9056603773584906,0.8495575221238938,53.0
model2_imgsz480,risk_1_low,0.7368421052631579,0.5833333333333334,0.6511627906976745,24.0
model2_imgsz480,risk_2_high,0.8571428571428571,0.8,0.8275862068965517,30.0
model2_imgsz520,risk_0_safe,0.8305084745762712,0.9245283018867925,0.875,53.0
model2_imgsz520,risk_1_low,0.6538461538461539,0.7083333333333334,0.68,24.0
model2_imgsz520,risk_2_high,0.9090909090909091,0.6666666666666666,0.7692307692307693,30.0
